team_name,team_uid,season,games_played,wins,losses,win_percentage,home_wins,home_losses,away_wins,away_losses,points_scored,points_allowed,point_differential,avg_points_scored,avg_points_allowed
Arizona Cardinals,NFL_134946,2022,17,4,13,0.235,1,8,3,5,340,449,-109,20.0,26.4
Arizona Cardinals,NFL_134946,2023,17,4,13,0.235,2,6,2,7,330,455,-125,19.4,26.8
Arizona Cardinals,NFL_134946,2024,17,8,9,0.471,6,3,2,6,400,379,21,23.5,22.3
San Francisco 49ers,NFL_134948,2022,20,15,5,0.75,10,1,5,4,517,343,174,25.9,17.1
San Francisco 49ers,NFL_134948,2023,20,14,6,0.7,7,3,7,3,571,375,196,28.6,18.8
San Francisco 49ers,NFL_134948,2024,17,6,11,0.353,4,5,2,6,389,436,-47,22.9,25.6
Seattle Seahawks,NFL_134949,2022,18,9,9,0.5,5,4,4,5,430,442,-12,23.9,24.6
Seattle Seahawks,NFL_134949,2023,17,9,8,0.529,5,3,4,5,364,402,-38,21.4,23.6
Seattle Seahawks,NFL_134949,2024,17,10,7,0.588,3,6,7,1,375,368,7,22.1,21.6
Los Angeles Rams,NFL_135907,2022,17,5,12,0.294,4,5,1,7,307,384,-77,18.1,22.6
Los Angeles Rams,NFL_135907,2023,18,10,8,0.556,5,3,5,5,427,401,26,23.7,22.3
Los Angeles Rams,NFL_135907,2024,19,11,8,0.579,6,4,5,4,416,423,-7,21.9,22.3
Los Angeles Chargers,NFL_135908,2022,18,10,8,0.556,5,3,5,5,421,415,6,23.4,23.1
Los Angeles Chargers,NFL_135908,2023,17,5,12,0.294,2,7,3,5,346,398,-52,20.4,23.4
Los Angeles Chargers,NFL_135908,2024,18,11,7,0.611,5,3,6,4,414,333,81,23.0,18.5
